relation_id,reference_model_id,reference_model,compatible_model_id,compatible_model,film_type,status,confidence,evidence_class,source_file,source_row,source_url,last_verified,conflict,notes
pelicula_g001__infinix_smart_7__realme_c35,infinix_smart_7,Infinix Smart 7,realme_c35,Realme C35,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,15,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__redmi_9a_sport,infinix_smart_7,Infinix Smart 7,redmi_9a_sport,Redmi 9A Sport,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,16,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a02,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a02,Samsung Galaxy A02,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,17,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a02s,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a02s,Samsung Galaxy A02S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,18,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a03,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a03,Samsung Galaxy A03,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,19,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a03_core,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a03_core,Samsung Galaxy A03 Core,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,20,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a03s,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a03s,Samsung Galaxy A03S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,21,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a12,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a12,Samsung Galaxy A12,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,22,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a13,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a13,Samsung Galaxy A13,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,23,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a13_4g,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a13_4g,Samsung Galaxy A13 4G,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,24,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a13_5g,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a13_5g,Samsung Galaxy A13 5G,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,25,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a23,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a23,Samsung Galaxy A23,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,26,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a23_4g,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a23_4g,Samsung Galaxy A23 4G,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,27,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_a70,infinix_smart_7,Infinix Smart 7,samsung_galaxy_a70,Samsung Galaxy A70,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,28,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__samsung_galaxy_m12,infinix_smart_7,Infinix Smart 7,samsung_galaxy_m12,Samsung Galaxy M12,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,29,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__lg_k51s,lg_k41s,LG K41S,lg_k51s,LG K51S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,30,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_e20,lg_k41s,LG K41S,motorola_moto_e20,Motorola Moto E20,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,31,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_e7_plus,lg_k41s,LG K41S,motorola_moto_e7_plus,Motorola Moto E7 Plus,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,32,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_g10,lg_k41s,LG K41S,motorola_moto_g10,Motorola Moto G10,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,33,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_g20,lg_k41s,LG K41S,motorola_moto_g20,Motorola Moto G20,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,34,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_g30,lg_k41s,LG K41S,motorola_moto_g30,Motorola Moto G30,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,35,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_g9,lg_k41s,LG K41S,motorola_moto_g9,Motorola Moto G9,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,36,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_g9_play,lg_k41s,LG K41S,motorola_moto_g9_play,Motorola Moto G9 Play,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,37,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__motorola_moto_one_fusion,lg_k41s,LG K41S,motorola_moto_one_fusion,Motorola Moto One Fusion,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,38,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__realme_c11,lg_k41s,LG K41S,realme_c11,Realme C11,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,39,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__realme_c21y,lg_k41s,LG K41S,realme_c21y,Realme C21Y,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,40,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__realme_c25,lg_k41s,LG K41S,realme_c25,Realme C25,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,41,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__realme_c35,lg_k41s,LG K41S,realme_c35,Realme C35,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,42,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__redmi_9a_sport,lg_k41s,LG K41S,redmi_9a_sport,Redmi 9A Sport,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,43,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a02,lg_k41s,LG K41S,samsung_galaxy_a02,Samsung Galaxy A02,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,44,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a02s,lg_k41s,LG K41S,samsung_galaxy_a02s,Samsung Galaxy A02S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,45,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a03,lg_k41s,LG K41S,samsung_galaxy_a03,Samsung Galaxy A03,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,46,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a03_core,lg_k41s,LG K41S,samsung_galaxy_a03_core,Samsung Galaxy A03 Core,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,47,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a03s,lg_k41s,LG K41S,samsung_galaxy_a03s,Samsung Galaxy A03S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,48,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a12,lg_k41s,LG K41S,samsung_galaxy_a12,Samsung Galaxy A12,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,49,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a13,lg_k41s,LG K41S,samsung_galaxy_a13,Samsung Galaxy A13,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,50,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a13_4g,lg_k41s,LG K41S,samsung_galaxy_a13_4g,Samsung Galaxy A13 4G,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,51,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a13_5g,lg_k41s,LG K41S,samsung_galaxy_a13_5g,Samsung Galaxy A13 5G,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,52,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a23,lg_k41s,LG K41S,samsung_galaxy_a23,Samsung Galaxy A23,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,53,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a23_4g,lg_k41s,LG K41S,samsung_galaxy_a23_4g,Samsung Galaxy A23 4G,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,54,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_a70,lg_k41s,LG K41S,samsung_galaxy_a70,Samsung Galaxy A70,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,55,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k41s__samsung_galaxy_m12,lg_k41s,LG K41S,samsung_galaxy_m12,Samsung Galaxy M12,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,56,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k51s__motorola_moto_e20,lg_k51s,LG K51S,motorola_moto_e20,Motorola Moto E20,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,57,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k51s__motorola_moto_e7_plus,lg_k51s,LG K51S,motorola_moto_e7_plus,Motorola Moto E7 Plus,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,58,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k51s__motorola_moto_g10,lg_k51s,LG K51S,motorola_moto_g10,Motorola Moto G10,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,59,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__lg_k51s__motorola_moto_g20,lg_k51s,LG K51S,motorola_moto_g20,Motorola Moto G20,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,60,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
