alias_key,model_key,alias,normalized_alias,alias_type,is_ambiguous,requires_brand_context,confidence,notes
apple_iphone_15_plus__15_plus,apple_iphone_15_plus,15 Plus,15 PLUS,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_15_plus__apple_iphone_15_plus,apple_iphone_15_plus,Apple iPhone 15 Plus,APPLE IPHONE 15 PLUS,canonical,false,false,alta,Nome canonico.
apple_iphone_15_plus__ip_15_plus,apple_iphone_15_plus,IP 15 Plus,IP 15 PLUS,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_15_plus__iphone_15_plus,apple_iphone_15_plus,iPhone 15 Plus,IPHONE 15 PLUS,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_15_plus__iphone15plus,apple_iphone_15_plus,iPhone15Plus,IPHONE15PLUS,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_15_pro__15_pro,apple_iphone_15_pro,15 Pro,15 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_15_pro__apple_iphone_15_pro,apple_iphone_15_pro,Apple iPhone 15 Pro,APPLE IPHONE 15 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_15_pro__ip_15_pro,apple_iphone_15_pro,IP 15 Pro,IP 15 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_15_pro__iphone_15_pro,apple_iphone_15_pro,iPhone 15 Pro,IPHONE 15 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_15_pro__iphone15pro,apple_iphone_15_pro,iPhone15Pro,IPHONE15PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_15_pro_max__15_pro_max,apple_iphone_15_pro_max,15 Pro Max,15 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_15_pro_max__apple_iphone_15_pro_max,apple_iphone_15_pro_max,Apple iPhone 15 Pro Max,APPLE IPHONE 15 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_15_pro_max__ip_15_pro_max,apple_iphone_15_pro_max,IP 15 Pro Max,IP 15 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_15_pro_max__iphone_15_pro_max,apple_iphone_15_pro_max,iPhone 15 Pro Max,IPHONE 15 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_15_pro_max__iphone15promax,apple_iphone_15_pro_max,iPhone15ProMax,IPHONE15PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_16__16,apple_iphone_16,16,16,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_16__apple_iphone_16,apple_iphone_16,Apple iPhone 16,APPLE IPHONE 16,canonical,false,false,alta,Nome canonico.
apple_iphone_16__ip_16,apple_iphone_16,IP 16,IP 16,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_16__iphone_16,apple_iphone_16,iPhone 16,IPHONE 16,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_16__iphone16,apple_iphone_16,iPhone16,IPHONE16,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_16_plus__16_plus,apple_iphone_16_plus,16 Plus,16 PLUS,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_16_plus__apple_iphone_16_plus,apple_iphone_16_plus,Apple iPhone 16 Plus,APPLE IPHONE 16 PLUS,canonical,false,false,alta,Nome canonico.
apple_iphone_16_plus__ip_16_plus,apple_iphone_16_plus,IP 16 Plus,IP 16 PLUS,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_16_plus__iphone_16_plus,apple_iphone_16_plus,iPhone 16 Plus,IPHONE 16 PLUS,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_16_plus__iphone16plus,apple_iphone_16_plus,iPhone16Plus,IPHONE16PLUS,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_16_pro__16_pro,apple_iphone_16_pro,16 Pro,16 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_16_pro__apple_iphone_16_pro,apple_iphone_16_pro,Apple iPhone 16 Pro,APPLE IPHONE 16 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_16_pro__ip_16_pro,apple_iphone_16_pro,IP 16 Pro,IP 16 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_16_pro__iphone_16_pro,apple_iphone_16_pro,iPhone 16 Pro,IPHONE 16 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_16_pro__iphone16pro,apple_iphone_16_pro,iPhone16Pro,IPHONE16PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_16_pro_max__16_pro_max,apple_iphone_16_pro_max,16 Pro Max,16 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_16_pro_max__apple_iphone_16_pro_max,apple_iphone_16_pro_max,Apple iPhone 16 Pro Max,APPLE IPHONE 16 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_16_pro_max__ip_16_pro_max,apple_iphone_16_pro_max,IP 16 Pro Max,IP 16 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_16_pro_max__iphone_16_pro_max,apple_iphone_16_pro_max,iPhone 16 Pro Max,IPHONE 16 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_16_pro_max__iphone16promax,apple_iphone_16_pro_max,iPhone16ProMax,IPHONE16PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_16e__16e,apple_iphone_16e,16e,16E,short,false,false,alta,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_16e__apple_iphone_16e,apple_iphone_16e,Apple iPhone 16e,APPLE IPHONE 16E,canonical,false,false,alta,Nome canonico.
apple_iphone_16e__ip_16e,apple_iphone_16e,IP 16e,IP 16E,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_16e__iphone_16e,apple_iphone_16e,iPhone 16e,IPHONE 16E,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_16e__iphone16e,apple_iphone_16e,iPhone16e,IPHONE16E,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_17__17,apple_iphone_17,17,17,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_17__apple_iphone_17,apple_iphone_17,Apple iPhone 17,APPLE IPHONE 17,canonical,false,false,alta,Nome canonico.
apple_iphone_17__ip_17,apple_iphone_17,IP 17,IP 17,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_17__iphone_17,apple_iphone_17,iPhone 17,IPHONE 17,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_17__iphone17,apple_iphone_17,iPhone17,IPHONE17,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_17_air__17_air,apple_iphone_17_air,17 Air,17 AIR,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_17_air__apple_iphone_17_air,apple_iphone_17_air,Apple iPhone 17 Air,APPLE IPHONE 17 AIR,canonical,false,false,alta,Nome canonico.
apple_iphone_17_air__ip_17_air,apple_iphone_17_air,IP 17 Air,IP 17 AIR,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_17_air__iphone_17_air,apple_iphone_17_air,iPhone 17 Air,IPHONE 17 AIR,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_17_air__iphone17air,apple_iphone_17_air,iPhone17Air,IPHONE17AIR,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_17_pro__17_pro,apple_iphone_17_pro,17 Pro,17 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_17_pro__apple_iphone_17_pro,apple_iphone_17_pro,Apple iPhone 17 Pro,APPLE IPHONE 17 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_17_pro__ip_17_pro,apple_iphone_17_pro,IP 17 Pro,IP 17 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_17_pro__iphone_17_pro,apple_iphone_17_pro,iPhone 17 Pro,IPHONE 17 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_17_pro__iphone17pro,apple_iphone_17_pro,iPhone17Pro,IPHONE17PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_17_pro_max__17_pro_max,apple_iphone_17_pro_max,17 Pro Max,17 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_17_pro_max__apple_iphone_17_pro_max,apple_iphone_17_pro_max,Apple iPhone 17 Pro Max,APPLE IPHONE 17 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_17_pro_max__ip_17_pro_max,apple_iphone_17_pro_max,IP 17 Pro Max,IP 17 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_17_pro_max__iphone_17_pro_max,apple_iphone_17_pro_max,iPhone 17 Pro Max,IPHONE 17 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_17_pro_max__iphone17promax,apple_iphone_17_pro_max,iPhone17ProMax,IPHONE17PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_17e__17e,apple_iphone_17e,17e,17E,short,false,false,alta,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_17e__apple_iphone_17e,apple_iphone_17e,Apple iPhone 17e,APPLE IPHONE 17E,canonical,false,false,alta,Nome canonico.
apple_iphone_17e__ip_17e,apple_iphone_17e,IP 17e,IP 17E,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_17e__iphone_17e,apple_iphone_17e,iPhone 17e,IPHONE 17E,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_17e__iphone17e,apple_iphone_17e,iPhone17e,IPHONE17E,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_6_plus__6_plus,apple_iphone_6_plus,6 Plus,6 PLUS,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_6_plus__apple_iphone_6_plus,apple_iphone_6_plus,Apple iPhone 6 Plus,APPLE IPHONE 6 PLUS,canonical,false,false,alta,Nome canonico.
apple_iphone_6_plus__ip_6_plus,apple_iphone_6_plus,IP 6 Plus,IP 6 PLUS,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_6_plus__iphone_6_plus,apple_iphone_6_plus,iPhone 6 Plus,IPHONE 6 PLUS,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_6_plus__iphone6plus,apple_iphone_6_plus,iPhone6Plus,IPHONE6PLUS,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_7__7,apple_iphone_7,7,7,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_7__apple_iphone_7,apple_iphone_7,Apple iPhone 7,APPLE IPHONE 7,canonical,false,false,alta,Nome canonico.
apple_iphone_7__ip_7,apple_iphone_7,IP 7,IP 7,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_7__iphone_7,apple_iphone_7,iPhone 7,IPHONE 7,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_7__iphone7,apple_iphone_7,iPhone7,IPHONE7,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_7_branco__7_branco,apple_iphone_7_branco,7 Branco,7 BRANCO,short,false,false,alta,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_7_branco__apple_iphone_7_branco,apple_iphone_7_branco,Apple iPhone 7 Branco,APPLE IPHONE 7 BRANCO,canonical,false,false,alta,Nome canonico.
apple_iphone_7_branco__ip_7_branco,apple_iphone_7_branco,IP 7 Branco,IP 7 BRANCO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_7_branco__iphone_7_branco,apple_iphone_7_branco,iPhone 7 Branco,IPHONE 7 BRANCO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_7_plus__7_plus,apple_iphone_7_plus,7 Plus,7 PLUS,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_7_plus__apple_iphone_7_plus,apple_iphone_7_plus,Apple iPhone 7 Plus,APPLE IPHONE 7 PLUS,canonical,false,false,alta,Nome canonico.
apple_iphone_7_plus__ip_7_plus,apple_iphone_7_plus,IP 7 Plus,IP 7 PLUS,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_7_plus__iphone_7_plus,apple_iphone_7_plus,iPhone 7 Plus,IPHONE 7 PLUS,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_7_plus__iphone7plus,apple_iphone_7_plus,iPhone7Plus,IPHONE7PLUS,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_7_plus_branco__7_plus_branco,apple_iphone_7_plus_branco,7 Plus Branco,7 PLUS BRANCO,short,false,false,alta,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_7_plus_branco__apple_iphone_7_plus_branco,apple_iphone_7_plus_branco,Apple iPhone 7 Plus Branco,APPLE IPHONE 7 PLUS BRANCO,canonical,false,false,alta,Nome canonico.
apple_iphone_7_plus_branco__ip_7_plus_branco,apple_iphone_7_plus_branco,IP 7 Plus Branco,IP 7 PLUS BRANCO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_7_plus_branco__iphone_7_plus_branco,apple_iphone_7_plus_branco,iPhone 7 Plus Branco,IPHONE 7 PLUS BRANCO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_7_plus_preto__7_plus_preto,apple_iphone_7_plus_preto,7 Plus Preto,7 PLUS PRETO,short,false,false,alta,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_7_plus_preto__apple_iphone_7_plus_preto,apple_iphone_7_plus_preto,Apple iPhone 7 Plus Preto,APPLE IPHONE 7 PLUS PRETO,canonical,false,false,alta,Nome canonico.
apple_iphone_7_plus_preto__ip_7_plus_preto,apple_iphone_7_plus_preto,IP 7 Plus Preto,IP 7 PLUS PRETO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_7_plus_preto__iphone_7_plus_preto,apple_iphone_7_plus_preto,iPhone 7 Plus Preto,IPHONE 7 PLUS PRETO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_7_preto__7_preto,apple_iphone_7_preto,7 Preto,7 PRETO,short,false,false,alta,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_7_preto__apple_iphone_7_preto,apple_iphone_7_preto,Apple iPhone 7 Preto,APPLE IPHONE 7 PRETO,canonical,false,false,alta,Nome canonico.
apple_iphone_7_preto__ip_7_preto,apple_iphone_7_preto,IP 7 Preto,IP 7 PRETO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_7_preto__iphone_7_preto,apple_iphone_7_preto,iPhone 7 Preto,IPHONE 7 PRETO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
