"Nº do pedido";"Produto";"Quantidade";"Valor unitário"
"77";"Pelicula Vidro";"1";"15,00"
"78";"Capa Silicone";"1";"25,00"
"79";"Pelicula 3D";"1";"25,00"
"80";"Carregador Turbo 20W";"1";"130,00"
"81";"Pelicula Vidro";"1";"15,00"
"82";"Capa Silicone Velvet";"1";"50,00"
"83";"Pelicula 3D";"1";"25,00"
"84";"Pelicula Vidro";"1";"15,00"
"85";"Capa Silicone";"1";"25,00"
"86";"Cabo Lightning Hrebos";"1";"40,00"
"87";"Pelicula Cerâmica";"1";"45,00"
"88";"Capa MagSafe";"1";"45,00"
"89";"Pelicula Privacidade";"1";"35,00"
"90";"Capa Silicone";"1";"25,00"
"91";"Pelicula 3D";"1";"25,00"
"92";"Pelicula Vidro";"1";"15,00"
"93";"Capa Anti-Impacto";"1";"25,00"
"94";"Pelicula 3D";"1";"25,00"
"95";"Cabo V8 Nylon";"1";"20,00"
"96";"Pelicula Cerâmica";"1";"35,00"
"97";"Capa Personalizada";"1";"45,00"
"98";"Suporte Veicular";"1";"30,00"
"99";"Capa Transparente";"1";"25,00"
"100";"Pelicula Vidro";"1";"15,00"
"101";"Fone Bluetooth Sport";"1";"65,00"
"102";"Cabo USB-C";"1";"30,00"
"103";"Pelicula Vidro";"1";"15,00"
"104";"Pelicula Vidro";"1";"15,00"
"105";"Capa Silicone";"1";"25,00"
"106";"Cabo Lightning";"1";"40,00"
"107";"Pelicula Vidro";"1";"15,00"
"108";"Suporte Magnético";"1";"30,00"
"109";"Cabo V8";"1";"20,00"
"110";"Pelicula 3D";"1";"25,00"
"111";"Capa Silicone";"1";"25,00"
"112";"Pelicula Cerâmica";"1";"45,00"
"113";"Capa Anti-Impacto";"1";"35,00"
"114";"Cabo Lightning";"1";"40,00"
"115";"Pelicula Vidro";"1";"15,00"
"116";"Cabo V8";"1";"20,00"
"117";"Capa Silicone";"1";"25,00"
"118";"Pelicula 3D";"1";"25,00"
"119";"Pelicula Cerâmica";"1";"25,00"
"120";"Pelicula Vidro";"1";"15,00"
"121";"Capa Silicone";"1";"25,00"
"122";"Cabo Lightning";"1";"40,00"
"123";"Pelicula Vidro";"1";"15,00"
"124";"Fone Bluetooth";"1";"65,00"
"125";"Capa Anti-Impacto";"1";"25,00"
"126";"Pelicula Cerâmica";"1";"45,00"
"127";"Suporte Veicular";"1";"35,00"
"128";"Cabo V8";"1";"20,00"
"129";"Capa Silicone";"1";"25,00"
"130";"Pelicula 3D";"1";"25,00"
"131";"Pelicula Vidro";"1";"15,00"
"132";"Capa Anti-Impacto";"1";"35,00"
"133";"Pelicula Cerâmica";"1";"45,00"
"134";"Capa Silicone";"1";"25,00"
"135";"Pelicula 3D";"1";"25,00"
"136";"Cabo Lightning";"1";"40,00"
"137";"Pelicula Vidro";"1";"15,00"
"138";"Capa Silicone";"1";"25,00"
"139";"Pelicula 3D";"1";"25,00"
"140";"Cabo Turbo";"1";"30,00"
"141";"Capa MagSafe";"1";"45,00"
"142";"Pelicula Vidro";"1";"15,00"
"143";"Capa Silicone";"1";"25,00"
"144";"Cabo V8 Nylon";"1";"20,00"
"145";"Pelicula 3D";"1";"25,00"
"146";"Pelicula Cerâmica";"1";"45,00"
"147";"Capa Anti-Impacto";"1";"35,00"
"148";"Capa Silicone";"1";"25,00"
"149";"Pelicula 3D";"1";"25,00"
"150";"Pelicula Vidro";"1";"15,00"
"151";"Fone Bluetooth Premium";"1";"65,00"
"152";"Capa Silicone";"1";"25,00"
"153";"Pelicula Cerâmica";"1";"45,00"
"154";"Suporte Veicular";"1";"35,00"
"155";"Cabo V8";"1";"20,00"
"156";"Capa Silicone";"1";"25,00"
"157";"Pelicula 3D";"1";"25,00"
"158";"Pelicula Vidro";"1";"15,00"
"159";"Capa Anti-Impacto";"1";"35,00"
"160";"Pelicula Cerâmica";"1";"45,00"
"161";"Capa Silicone";"1";"25,00"
"162";"Pelicula 3D";"1";"25,00"
"163";"Cabo Lightning";"1";"40,00"
"164";"Pelicula Vidro";"1";"15,00"
"165";"Capa Silicone";"1";"25,00"
"166";"Pelicula 3D";"1";"25,00"
"167";"Cabo Turbo";"1";"30,00"
"168";"Capa MagSafe";"1";"45,00"
"169";"Pelicula Vidro";"1";"15,00"
"170";"Capa Silicone";"1";"25,00"
"171";"Cabo V8 Nylon";"1";"20,00"
"172";"Pelicula 3D";"1";"25,00"
"173";"Pelicula Cerâmica";"1";"45,00"
"174";"Capa Anti-Impacto";"1";"35,00"
"175";"Capa Silicone";"1";"25,00"
"176";"Pelicula 3D";"1";"25,00"
"177";"Pelicula Vidro";"1";"15,00"
"178";"Fone Bluetooth Premium";"1";"65,00"
"179";"Capa Silicone";"1";"25,00"
"180";"Pelicula Cerâmica";"1";"45,00"
"181";"Suporte Veicular";"1";"35,00"
"182";"Cabo V8";"1";"20,00"
"183";"Capa Silicone";"1";"25,00"
"184";"Pelicula 3D";"1";"25,00"
"185";"Pelicula Vidro";"1";"15,00"
"186";"Capa Anti-Impacto";"1";"35,00"
"187";"Pelicula Cerâmica";"1";"45,00"
"188";"Capa Silicone";"1";"25,00"
"189";"Pelicula 3D";"1";"25,00"
"190";"Cabo Lightning";"1";"40,00"
"191";"Pelicula Vidro";"1";"15,00"
"192";"Capa Silicone";"1";"25,00"
"193";"Pelicula 3D";"1";"25,00"
"194";"Cabo Turbo";"1";"30,00"
"195";"Capa MagSafe";"1";"45,00"
"196";"Pelicula Vidro";"1";"15,00"
"197";"Capa Silicone";"1";"25,00"
"198";"Cabo V8 Nylon";"1";"20,00"
"199";"Pelicula 3D";"1";"25,00"
"200";"Pelicula Cerâmica";"1";"45,00"
"201";"Capa Anti-Impacto";"1";"35,00"
"202";"Capa Silicone";"1";"25,00"
"203";"Pelicula 3D";"1";"25,00"
"204";"Pelicula Vidro";"1";"15,00"
"205";"Fone Bluetooth Premium";"1";"65,00"
"206";"Capa Silicone";"1";"25,00"
"207";"Pelicula Cerâmica";"1";"45,00"
"208";"Suporte Veicular";"1";"35,00"
"209";"Cabo V8";"1";"20,00"
"210";"Capa Silicone";"1";"25,00"
"211";"Pelicula 3D";"1";"25,00"
"212";"Pelicula Vidro";"1";"15,00"
"213";"Capa Anti-Impacto";"1";"35,00"
"214";"Pelicula Cerâmica";"1";"45,00"
"215";"Capa Silicone";"1";"25,00"
"216";"Pelicula 3D";"1";"25,00"
"217";"Cabo Lightning";"1";"40,00"
"218";"Pelicula Vidro";"1";"15,00"
"219";"Capa Silicone";"1";"25,00"
"220";"Pelicula";"";""
