tipo,chave_sugerida,marca,nome_ou_grupo,aliases_ou_membros,categoria,status,confianca,requer_teste_seco,justificativa,risco
nova_relacao,pelicula_p001,Apple,iPhone 7 / 8 / SE 2020 / SE 2022,apple_iphone_se_2020|apple_iphone_se_2022|apple_iphone_8|apple_iphone_7,pelicula_tela,provavel_mercado,media,true,SE 2020/2022 usam a mesma frente 4.7 do iPhone 8; pratica de mercado consolidada,Confirmar sensor/alto-falante no molde 3D
nova_relacao,pelicula_p002,Apple,iPhone 12 Mini / 13 Mini,apple_iphone_12_mini|apple_iphone_13_mini,pelicula_tela,precisa_testar,baixa,true,Ambos 5.4; mercado costuma vender a mesma pelicula,Notch do 13 Mini e menor; testar seco
nova_relacao,pelicula_p003,Apple,iPhone 14 Pro Max / 15 Plus / 15 Pro Max,apple_iphone_14_pro_max|apple_iphone_15_plus|apple_iphone_15_pro_max,pelicula_tela,precisa_testar,baixa,true,Frentes 6.7 com Dynamic Island,Bordas do 15 Pro Max sao mais finas; molde pode variar
nova_relacao,pelicula_p004,Apple,iPhone 15 / 16,apple_iphone_15|apple_iphone_16,pelicula_tela,precisa_testar,baixa,true,Frentes 6.1 com Dynamic Island,Bordas do 16 levemente mais finas
nova_relacao,pelicula_p005,Apple,iPhone 15 Plus / 16 Plus,apple_iphone_15_plus|apple_iphone_16_plus,pelicula_tela,precisa_testar,baixa,true,Frentes 6.7 com Dynamic Island,Bordas do 16 Plus levemente mais finas
nova_relacao,pelicula_p006,Samsung,A22 4G / M22 / M32 / A31,samsung_galaxy_a22_4g|samsung_galaxy_m22|samsung_galaxy_m32|samsung_galaxy_a31,pelicula_tela,precisa_testar,baixa,true,Paineis 6.4 AMOLED Infinity-U semelhantes; tabelas de mercado agrupam,NAO incluir A22 5G (tela TFT 6.6 diferente)
nova_relacao,pelicula_p007,Samsung,A15 / A25,samsung_galaxy_a15|samsung_galaxy_a25,pelicula_tela,precisa_testar,baixa,true,Ambos 6.5 AMOLED punch central,Bordas e curva 2.5D podem variar; testar seco
nova_relacao,pelicula_p008,Motorola,E32s junta ao grupo do E32/G22,motorola_moto_e32s|motorola_moto_e32,pelicula_tela,provavel_mercado,media,true,E32s e gemeo de tela do E32 ja agrupado,
nova_relacao,pelicula_p009,Motorola,E13 junta ao grupo do G13/G23,motorola_moto_e13|motorola_moto_g13,pelicula_tela,provavel_mercado,media,true,Tabelas de mercado agrupam G13/G23/E13 (frente 6.5 punch),
nova_relacao,pelicula_p010,Motorola,G42 / G31,motorola_moto_g42|motorola_moto_g31,pelicula_tela,precisa_testar,baixa,true,Ambos 6.4 AMOLED punch central,Molduras podem variar; testar seco
nova_relacao,pelicula_p011,Motorola,Edge 20 / Edge 20 Pro,motorola_edge_20|motorola_edge_20_pro,pelicula_tela,precisa_testar,baixa,true,Ambos 6.7 planos,Edge 20 Lite fica de fora (frente propria)
nova_relacao,pelicula_p012,Motorola,G72 e Edge 30 juntam ao grupo do G52,motorola_moto_g72|motorola_edge_30|motorola_moto_g52,pelicula_tela,precisa_testar,baixa,true,Familia de painel 6.6 pOLED punch central,Testar seco por modelo; bordas variam
nova_relacao,pelicula_p013,Motorola,G73 junta ao grupo do G53,motorola_moto_g73|motorola_moto_g53,pelicula_tela,precisa_testar,baixa,true,Ambos 6.5 LCD punch central,
nova_relacao,pelicula_p014,Redmi,Redmi 9 junta ao grupo do 9A/9C,redmi_9|redmi_9a,pelicula_tela,precisa_testar,baixa,true,Frente 6.53 waterdrop compartilhada,Bordas do Redmi 9 diferem levemente; testar seco
nova_relacao,pelicula_p015,Redmi,Note 11S junta ao grupo do Note 11,redmi_note_11s|redmi_note_11,pelicula_tela,provavel_mercado,media,true,Mesmo painel 6.43 AMOLED punch; mercado consolidado,
nova_relacao,pelicula_p016,Redmi,Note 12 / Note 12 4G,redmi_note_12|redmi_note_12_4g,pelicula_tela,provavel_mercado,media,true,Mesma frente 6.67 punch central,
nova_relacao,pelicula_p017,Redmi,Note 12 Pro junta ao Note 12,redmi_note_12_pro|redmi_note_12,pelicula_tela,precisa_testar,baixa,true,Frente 6.67 plana em ambos,Versoes Pro tem molduras proprias; testar seco
nova_relacao,pelicula_p018,Redmi,Note 13 4G junta ao grupo do Note 13,redmi_note_13_4g|redmi_note_13,pelicula_tela,precisa_testar,baixa,true,Frentes 6.67 semelhantes entre 4G e 5G,
nova_relacao,pelicula_p019,POCO,X3 NFC junta ao grupo do X3/X3 Pro,poco_x3_nfc|poco_x3,pelicula_tela,provavel_mercado,media,true,X3/X3 NFC/X3 Pro compartilham a mesma frente; mercado consolidado,X3 GT fica de fora (frente diferente)
nova_relacao,pelicula_p020,POCO,C55 / Redmi 12C,poco_c55|redmi_12c,pelicula_tela,provavel_mercado,media,true,Gemeos de projeto,Depende da aprovacao do novo modelo poco_c55
nova_relacao,pelicula_p021,Realme,C21 / C11,realme_c21|realme_c11,pelicula_tela,provavel_mercado,media,true,Familia C11/C20/C21 com mesma frente 6.5 waterdrop,Depende da aprovacao do novo modelo realme_c21
nova_relacao,pelicula_p022,Realme,C30 / C30s,realme_c30|realme_c30s,pelicula_tela,provavel_mercado,media,true,Gemeos de tela,
nova_relacao,pelicula_p023,Realme,C33 / C30,realme_c33|realme_c30,pelicula_tela,precisa_testar,baixa,true,Frentes 6.5 waterdrop semelhantes,Molduras podem variar
nova_relacao,pelicula_p024,Tecno,Spark 20 / Spark 20C,tecno_spark_20|tecno_spark_20c,pelicula_tela,precisa_testar,baixa,true,Frentes 6.6 punch semelhantes,Verificar molde; linha Tecno tem variacoes silenciosas
revisao,rev_p001,Motorola,Duplicatas one_fusion/one_macro/one_zoom,motorola_one_fusion|motorola_moto_one_fusion|motorola_one_macro|motorola_moto_one_macro|motorola_one_zoom|motorola_moto_one_zoom,,revisar,baixa,false,Mesmos aparelhos com duas chaves no seed de modelos; unificar chave canonica e migrar aliases,Busca retorna o mesmo aparelho duplicado
revisao,rev_p002,Redmi,redmi_x5 suspeito,redmi_x5|poco_x5,,revisar,baixa,false,Redmi X5 nao e modelo do mercado BR; provavel confusao com POCO X5,Alias X5 colide entre os dois registros
revisao,rev_p003,Samsung,A22 4G x A22 5G,samsung_galaxy_a22_4g|samsung_galaxy_a22_5g,,revisar,alta,true,Telas diferentes (AMOLED 6.4 x TFT 6.6); NUNCA agrupar automaticamente,Sufixo 4G/5G confunde operador no balcao
revisao,rev_p004,Samsung,A32 4G x A32 5G,samsung_galaxy_a32_4g|samsung_galaxy_a32_5g,,revisar,alta,true,Telas diferentes (AMOLED 6.4 x TFT 6.5); NUNCA agrupar automaticamente,
revisao,rev_p005,Redmi,Note 14 Pro / Pro+ tela curva,redmi_note_14_pro|redmi_note_14_pro_plus,,revisar,alta,true,Telas curvas exigem pelicula especifica; nao agrupar com Note 14 plano,Erro de agrupamento aqui e caro (pelicula 3D nao adere)
revisao,rev_p006,Motorola,Edge 40 tela curva,motorola_edge_40,,revisar,alta,true,pOLED com curvatura; pelicula especifica; nao agrupar,Depende da aprovacao do novo modelo
revisao,rev_p007,Samsung,S21-S24 base/Plus/Ultra sem grupo,samsung_galaxy_s21|samsung_galaxy_s22|samsung_galaxy_s23|samsung_galaxy_s24,,revisar,media,true,Flagships de alta demanda sem nenhum grupo; pesquisar fornecedor e vender pelicula especifica por modelo ate la,Ultras antigos tem curvatura
revisao,rev_p008,Apple,iPhone 12 Pro Max sem grupo,apple_iphone_12_pro_max,,revisar,media,true,Sem relacao no seed; pesquisar fornecedor (frente 6.7 propria da geracao 12),
revisao,rev_p009,POCO,POCO C40 sem grupo,poco_c40,,revisar,media,true,Frente 6.71 de projeto proprio; pesquisar fornecedor antes de agrupar,
revisao,rev_p010,POCO,POCO M5 familia de tela,poco_m5,,revisar,media,true,Familia (Redmi 10 5G / Note 11E) nao catalogada; pesquisar antes de agrupar,Depende da aprovacao do novo modelo
revisao,rev_p011,Infinix,Variantes Infinix/Tecno,infinix_hot_10|infinix_hot_11|infinix_hot_12|infinix_hot_20|infinix_hot_30|infinix_hot_40|infinix_smart_8|tecno_spark_10,,revisar,media,true,Variantes Play/Pro/i/C tem frentes distintas; confirmar variante exata no balcao antes de criar grupos,Entram SEM grupo (vazio honesto) ate haver evidencia
revisao,rev_p012,Motorola,G84 frente especifica,motorola_moto_g84,,revisar,media,true,pOLED 6.55 sem familia clara; pesquisar fornecedor,
revisao,rev_p013,Motorola,G32 frente especifica,motorola_moto_g32,,revisar,media,true,LCD 6.5 punch sem familia consolidada; pesquisar fornecedor,
revisao,rev_p014,Multi,Mutirao de teste seco nos 7 super grupos,pelicula_g001|pelicula_g002|pelicula_g003|pelicula_g005|pelicula_g006|pelicula_g007|pelicula_g008,,revisar,alta,true,Grupos 10+ membros multimarca concentram risco; testar 2-3 modelos por grupo por amostragem,826 relacoes precisa_testar dependem disso para subir de confianca
revisao,rev_p015,Multi,Aliases numericos puros,12|13|15|8|C65|C71|C75|X5|NOTE 9|NOTE 10,,revisar,alta,false,Aliases que colidem entre marcas (iPhone x Redmi; POCO x Realme); manter exigencia de contexto de marca na UI,Ja sinalizado pelo buscador; nao promover a chave global
